"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",162.790896798144,-0.407140358967071,0.118262844085789,-3.44267349660328,0.0919671918970558,0.127053633597365
"MIR6859-1",0.236065534522769,-6.4738511523493,1.73349347352389,-3.73456909485162,0.00021760548058266,0.000412800670298949
"OR4F16",0.933789566891472,-2.45971004563268,0.268248926279848,-9.1695056518758,8.78971079081625e-17,3.74007746102107e-16
"FAM87B",35.956494282643,-0.543454709212695,0.173763860729148,-3.12754739064988,0.0456300948110324,0.066080025379793
"LINC01128",1000.27449406835,0.909254674061596,0.0922371572203255,9.85779160441462,4.42225815387176e-13,1.54571434730948e-12
"LINC00115",153.558343897904,1.41675866668609,0.143886586692759,9.84635676785699,2.55448166841924e-16,1.06078475545707e-15
"FAM41C",6.88469696055192,-0.0160143256676339,0.353740196949345,-0.0452714331188296,0.971866026643848,0.999999999984865
"SAMD11",181.542300311861,0.2283262540607,0.263745890782841,0.865705446189096,0.567617494778949,0.663956961535158
"NOC2L",4528.32445096055,0.611282099511257,0.0837476878504272,7.29909225199151,8.01869815073127e-06,1.72835728551059e-05
"KLHL17",1102.56422351163,1.5140713016017,0.107447236695354,14.0913005133353,2.97116750053204e-32,2.45801849361754e-31
"PLEKHN1",2764.38681283843,3.15720288382207,0.336075015830125,9.39433976079298,2.56465468465008e-18,1.18308635670162e-17
"PERM1",985.089136996774,6.02839264382504,0.346893181433765,17.3782390847486,1.33350792927656e-62,2.64458301488305e-61
"HES4",622.65077570111,1.16673884706304,0.143203769389678,8.14740318663101,7.68588464624584e-11,2.35141972597083e-10
"ISG15",728.4512888022,-1.1993606102009,0.218133242618284,-5.49829359250705,6.73876982784915e-06,1.46213390334314e-05
"AGRN",6577.68191031411,-1.35487153590138,0.114874446569235,-11.7943683418296,3.35359193972179e-22,1.858532801277e-21
"RNF223",464.262620674359,2.67098249813848,0.396732670551648,6.7324490680955,5.22848706582181e-10,1.51073659499917e-09
"C1orf159",1303.60694036879,1.60125420853001,0.0845227423721729,18.9446551731524,7.88786975687523e-58,1.39020428771505e-56
"LINC01342",7.54810040810381,-0.156918057310259,0.3558176291414,-0.44100697789738,0.729576989157432,0.822877841496795
"TTLL10-AS1",27.3023249663131,-0.527415874491628,0.261479226936436,-2.01704693971671,0.145830578501547,0.194920038302265
"TTLL10",100.176077894587,-0.160148280866305,0.264940075793868,-0.604469823549479,0.693549371319911,0.78802300596533
"TNFRSF18",525.829676786173,1.09964486975339,0.257019432883149,4.27845030011148,0.000473669450081548,0.000868660075251097
"TNFRSF4",174.91962427614,-0.400965901419819,0.235507310780837,-1.70256243889157,0.263607454918878,0.335658577460461
"SDF4",6687.86614170225,0.413981462480705,0.0468728329719052,8.83201283628063,0.000234000388881622,0.000441966021545885
"B3GALT6",939.22240712466,0.316409005666459,0.0859179186762822,3.6826893684263,0.219780289919196,0.284738857810937
"C1QTNF12",150.282884373425,1.63918652719195,0.237977732979142,6.88798278171523,2.65006288660904e-09,7.31075590923605e-09
