Geneid,p_value,padj
A1BG,3.2090499895059183e-48,3.4909126840720185e-48
A1BG-AS1,2.919785818072346e-51,3.20165493524302e-51
A1CF,3.6186974590597172e-295,1.0722894504168717e-294
A2M,3.9651941726730765e-36,4.1903259113978484e-36
A2M-AS1,5.685721357221336e-177,9.534453643748293e-177
A2ML1,3.686920796114186e-60,4.1346093424447427e-60
A2MP1,7.746173149250197e-28,8.034774545584381e-28
A3GALT2,0.0,0.0
A4GALT,5.814351775887926e-262,1.430536816499718e-261
A4GNT,2.4076975974058775e-226,4.990082769166705e-226
AAAS,5.065224789512682e-147,7.546866987234841e-147
AACS,8.544693155272378e-288,2.4252097535378604e-287
AACSP1,3.3225790452056893e-10,3.346708370671791e-10
AADAC,5.85609799761217e-49,6.3849410568273245e-49
AADACL2,2.145518572938659e-26,2.219754633923775e-26
AADACL2-AS1,0.0,0.0
AADACL3,6.108125959724364e-149,9.174940768312484e-149
AADACL4,0.0,0.0
AADACP1,1.282915552514293e-209,2.467038142578224e-209
AADAT,9.01093773428701e-139,1.2944894889512955e-138
AAGAB,3.012238229556077e-143,4.414063963677388e-143
AAK1,4.4280010187184705e-109,5.686651910696902e-109
AAMDC,9.835534935956499e-49,1.0717148905133102e-48
AAMP,0.0,0.0
AANAT,8.1446590698017e-203,1.518278928209168e-202
AAR2,1.472729266572927e-273,3.859335150645922e-273
AARD,4.122151838965103e-65,4.6782877675522516e-65
AARS2,2.15248757951179e-88,2.6020620618859315e-88
AARSD1,0.0,0.0
AASDH,5.271902912294075e-200,9.704988618586296e-200
AASDHPPT,1.382403532990054e-221,2.805258147678742e-221
AASS,4.260115038797464e-96,5.260653722353061e-96
AATBC,3.5049239489830856e-228,7.331458980774649e-228
AATF,3.335253395369155e-144,4.906138140491913e-144
AATK,1.265008955627125e-242,2.829098221890134e-242
ABALON,1.3115251889743413e-232,2.7985686701524775e-232
ABAT,1.4829557677931917e-55,1.643809811644622e-55
ABCA1,1.2286250157244456e-151,1.865707846065139e-151
ABCA10,5.245234058148527e-159,8.207575707136854e-159
ABCA11P,1.826695577535272e-280,4.960820827691921e-280
ABCA12,4.596330648154272e-15,4.66398928352155e-15
ABCA13,8.480791948872473e-80,1.0019589174406804e-79
ABCA17P,1.9397725071493274e-72,2.2442875479701565e-72
ABCA2,2.6597927007607517e-195,4.792914388535301e-195
ABCA3,2.7590889531661685e-31,2.885544585859544e-31
ABCA4,2.5694211626133022e-74,2.9890032764757816e-74
ABCA5,3.0273812340546752e-210,5.842127695321e-210
ABCA6,2.167999939381903e-84,2.5906181546776487e-84
ABCA7,8.941172584897016e-251,2.079829840317932e-250
ABCA8,6.007825445028237e-219,1.2016694730807934e-218
ABCA9,9.680100271019265e-194,1.7332189800135901e-193
ABCA9-AS1,1.4553123052777014e-199,2.673510772896656e-199
ABCB1,8.751827128954416e-84,1.044322714781272e-83
ABCB10,3.663450467099408e-119,4.8617951210154343e-119
ABCB11,1.1015158569676741e-35,1.1629889985244981e-35
ABCB4,6.25636501784452e-256,1.4910107459978493e-255
ABCB5,8.89495060875655e-51,9.740658397907767e-51
ABCB6,0.0,0.0
ABCB7,6.289321072445084e-244,1.4161890305327688e-243
ABCB8,6.728076289711723e-302,2.073724611704454e-301
ABCB9,1.0586377185215559e-283,2.93169050171281e-283
ABCC1,1.7862754257858016e-131,2.4898417122709947e-131
ABCC10,8.536249018039261e-135,1.206054230432842e-134
ABCC11,3.928046709049217e-243,8.806168201475091e-243
ABCC12,0.0,0.0
ABCC13,2.899203445351549e-177,4.867025893239086e-177
ABCC2,1.410956641878894e-89,1.711313581763665e-89
ABCC3,1.2468227716675106e-18,1.2725794616044313e-18
ABCC4,5.054523814975006e-132,7.06589898700574e-132
ABCC5,2.7124215424581866e-100,3.3929584697140767e-100
ABCC5-AS1,0.0,0.0
ABCC6,2.0184953160549824e-13,2.0429855880450993e-13
ABCC6P1,1.8766937559996892e-85,2.2488288247182703e-85
ABCC6P2,3.4254609748727864e-216,6.770931789618049e-216
ABCC8,8.130931159345428e-50,8.883716557337309e-50
ABCC9,4.373667954201679e-59,4.893067588801723e-59
ABCD1,1.7972528995320084e-127,2.4647061027354195e-127
ABCD2,1.8203935735397919e-75,2.1241000221558974e-75
ABCD3,4.655673376543264e-201,8.6167382493193e-201
ABCD4,1.001660245867391e-224,2.0613358509877378e-224
ABCE1,1.4464556280145668e-137,2.0663395408207102e-137
ABCF1,2.5078226339540432e-111,3.2471099046315316e-111
ABCF2,0.0,0.0
ABCF3,1.3215409396736326e-146,1.9658327041636981e-146
ABCG1,6.686954709121025e-88,8.073013749819228e-88
ABCG2,1.7360627931717505e-60,1.9483845844497386e-60
ABCG4,2.510400451170512e-48,2.7318016819997104e-48
ABCG5,0.0,0.0
ABCG8,0.0,0.0
ABHD1,6.6826068569042076e-226,1.381772252118208e-225
ABHD10,5.57749867163927e-218,1.1105796887989496e-217
ABHD11,7.296420968773285e-160,1.145691852861189e-159
ABHD11-AS1,3.565327630286481e-10,3.590905658780225e-10
ABHD12,3.1686918251060027e-138,4.54327815302283e-138
ABHD12B,6.544095599537871e-30,6.82171671497985e-30
ABHD13,1.9727207818612143e-241,4.3900950397808425e-241
ABHD14A,1.0088578099006987e-247,2.3149234816776645e-247
ABHD14B,6.797246655555562e-297,2.034314402671406e-296
ABHD15,4.7026698304276196e-234,1.0106811367102168e-233
ABHD16A,1.5242849631587836e-281,4.164606264598058e-281
ABHD17A,5.818170350096611e-304,1.8173593018671057e-303
ABHD17B,7.511089605228305e-227,1.5603656687789995e-226
ABHD17C,1.949951654126032e-179,3.2975164806902504e-179
ABHD18,3.960636222985353e-134,5.583497942567644e-134
ABHD2,3.969396665382739e-90,4.823019094610384e-90
ABHD3,1.405969264389024e-93,1.725259092005164e-93
ABHD4,0.0,0.0
